name,price,nro_of_nights,star_rating,review_score,review_count,room_type,part_of_city,distance_from_center,url,address,source,clean_address,latitude,longitude
Hotel Die Port van Cleve,179.57,1,4.0,8.5,2293.0,Cosy Double Room,Amsterdam City Centre,200.0,https://www.booking.com/hotel/nl/cleve.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=193&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=1018408_95128163_0_2_0&highlighted_blocks=1018408_95128163_0_2_0&matching_block_id=1018408_95128163_0_2_0&sr_pri_blocks=1018408_95128163_0_2_0__125713&from_sustainable_property_sr=1&from=searchresults,"Nieuwezijds Voorburgwal 176 - 180, Amsterdam City Centre, 1012 SJ Amsterdam, Netherlands
location — rated 9.7/10!",booking,"Nieuwezijds Voorburgwal 176 - 180, 1012 SJ Amsterdam, Netherlands",52.3745042,4.8912464
"Park Centraal Amsterdam, part of Sircle Collection",151.43,1,4.0,8.4,2702.0,Classic Room,Oud Zuid,1.4,https://www.booking.com/hotel/nl/park-centraal-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=194&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__106048&from_sustainable_property_sr=1&from=searchresults,"Stadhouderskade 25, Oud Zuid, 1071 ZD Amsterdam, Netherlands
location — rated 9.5/10!",booking,"Stadhouderskade 25, 1071 ZD Amsterdam, Netherlands",52.3615125,4.8832127
Aadam Hotel Wilhelmina,89.0,1,3.0,6.8,1686.0,Double Room,Oud Zuid,3.1,https://www.booking.com/hotel/nl/wilhelmina.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=195&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=1004322_95127834_0_0_0&highlighted_blocks=1004322_95127834_0_0_0&matching_block_id=1004322_95127834_0_0_0&sr_pri_blocks=1004322_95127834_0_0_0__62267&from=searchresults,"Koninginneweg 169, Oud Zuid, 1075 CN Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Koninginneweg 169, 1075 CN Amsterdam, Netherlands",52.3527534,4.8618602
Grand Canal Boutique Hotel,153.29,1,4.0,7.8,976.0,Comfort Double Room with Shower,Amsterdam City Centre,0.6,https://www.booking.com/hotel/nl/canal-boutique-apartments.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=196&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=40143620_0_2_0_0&highlighted_blocks=40143620_0_2_0_0&matching_block_id=40143620_0_2_0_0&sr_pri_blocks=40143620_0_2_0_0__107349&from=searchresults,"Keizersgracht 304, Amsterdam City Centre, 1016 EX Amsterdam, Netherlands
location — rated 9.4/10!",booking,"Keizersgracht 304, 1016 EX Amsterdam, Netherlands",52.3705448,4.8844038
Hotel Amsterdam De Roode Leeuw,185.43,1,4.0,7.4,3353.0,Comfort Double or Twin Room,Amsterdam City Centre,100.0,https://www.booking.com/hotel/nl/amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=197&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=1007402_95127891_0_2_0&highlighted_blocks=1007402_95127891_0_2_0&matching_block_id=1007402_95127891_0_2_0&sr_pri_blocks=1007402_95127891_0_2_0__129811&from_sustainable_property_sr=1&from=searchresults,"Damrak 93-94, Amsterdam City Centre, 1012 LP Amsterdam, Netherlands
location — rated 9.5/10!",booking,"Damrak 93-94, 1012 LP Amsterdam, Netherlands",52.3737184,4.8935428
Cityview Hotel,140.0,1,3.0,7.6,1196.0,Small Double Room,Amsterdam City Centre,0.8,https://www.booking.com/hotel/nl/cityview.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=198&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=503165401_171747591_2_0_0&highlighted_blocks=503165401_171747591_2_0_0&matching_block_id=503165401_171747591_2_0_0&sr_pri_blocks=503165401_171747591_2_0_0__98029&from=searchresults,"7 Binnen Wieringerstraat, Amsterdam City Centre, 1013 EA Amsterdam, Netherlands
location — rated 9.2/10!",booking,"7 Binnen Wieringerstraat, 1013 EA Amsterdam, Netherlands",52.3798109,4.8926848
Numa Amsterdam Docklands,130.0,1,4.0,8.8,1795.0,Medium Studio with Kitchen,Zeeburg,3.7,https://www.booking.com/hotel/nl/yays-amsterdam-docklands.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=199&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=521746507_182586151_2_0_0_700745&highlighted_blocks=521746507_182586151_2_0_0_700745&matching_block_id=521746507_182586151_2_0_0_700745&sr_pri_blocks=521746507_182586151_2_0_0_700745_90959&from=searchresults,"Cruquiusweg 65, Zeeburg, 1019 AT Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Cruquiusweg 65, 1019 AT Amsterdam, Netherlands",52.368933,4.9465115
"Max Brown Hotel Canal District, part of Sircle Collection",173.71,1,3.0,8.1,1039.0,Small Double Room,Amsterdam City Centre,0.7,https://www.booking.com/hotel/nl/max-brown-hotel-canal-district.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=200&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682197&all_sr_blocks=1094606_95129700_0_2_0_744365&highlighted_blocks=1094606_95129700_0_2_0_744365&matching_block_id=1094606_95129700_0_2_0_744365&sr_pri_blocks=1094606_95129700_0_2_0_744365_121575&from_sustainable_property_sr=1&from=searchresults,"Herengracht 13 - 19, Amsterdam City Centre, 1015 BA Amsterdam, Netherlands
location — rated 9.6/10!",booking,"Herengracht 13 - 19, 1015 BA Amsterdam, Netherlands",52.3788703,4.8921727
Pension Homeland,153.29,1,,8.6,3855.0,Double or Twin Room with Private Bathroom,Amsterdam City Centre,1.6,https://www.booking.com/hotel/nl/pension-homeland.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=201&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=158058002_88602668_0_42_0&highlighted_blocks=158058002_88602668_0_42_0&matching_block_id=158058002_88602668_0_42_0&sr_pri_blocks=158058002_88602668_0_42_0__107276&from=searchresults,"Kattenburgerstraat 7, Amsterdam City Centre, 1018 JA Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Kattenburgerstraat 7, 1018 JA Amsterdam, Netherlands",52.3745343,4.9155587
The Amsterdam Hotel Apartment in the Center,733.0,1,4.0,9.0,344.0,Two-Bedroom Apartment,Amsterdam City Centre,450.0,https://www.booking.com/hotel/nl/amsterdam-city-center-nieuwmarkt.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=202&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=148044903_87576202_4_0_0&highlighted_blocks=148044903_87576202_4_0_0&matching_block_id=148044903_87576202_4_0_0&sr_pri_blocks=148044903_87576202_4_0_0__513129&from=searchresults,"Monnikenstraat 19, Amsterdam City Centre, 1012 BP Amsterdam, Netherlands
location — rated 9.5/10!",booking,"Monnikenstraat 19, 1012 BP Amsterdam, Netherlands",52.3731529,4.8997352
Park Plaza Victoria Amsterdam,219.29,1,4.0,8.6,8944.0,Superior King Room,Amsterdam City Centre,0.6,https://www.booking.com/hotel/nl/victoria.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=203&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=1044216_95128805_0_34_0&highlighted_blocks=1044216_95128805_0_34_0&matching_block_id=1044216_95128805_0_34_0&sr_pri_blocks=1044216_95128805_0_34_0__153491&from_sustainable_property_sr=1&from=searchresults,"Damrak 1 - 5, Amsterdam City Centre, 1012 LG Amsterdam, Netherlands
location — rated 9.7/10!",booking,"Damrak 1 - 5, 1012 LG Amsterdam, Netherlands",52.3772801,4.8976771
Travel Hotel Amsterdam,155.43,1,2.0,7.0,2406.0,Triple Room,Amsterdam City Centre,350.0,https://www.booking.com/hotel/nl/travel-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=204&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=158809204_91681205_0_0_0&highlighted_blocks=158809204_91681205_0_0_0&matching_block_id=158809204_91681205_0_0_0&sr_pri_blocks=158809204_91681205_0_0_0__108793&from_sustainable_property_sr=1&from=searchresults,"Beursstraat 23, Amsterdam City Centre, 1012 JV Amsterdam, Netherlands
location — rated 9.4/10!",booking,"Beursstraat 23, 1012 JV Amsterdam, Netherlands",52.3748239,4.8966962
Hotel Mercier,224.57,1,4.0,8.4,1978.0,"Indoor Double or Twin Room, No Direct Daylight",Amsterdam City Centre,0.7,https://www.booking.com/hotel/nl/mercier.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=205&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=365181206_119138345_0_2_0&highlighted_blocks=365181206_119138345_0_2_0&matching_block_id=365181206_119138345_0_2_0&sr_pri_blocks=365181206_119138345_0_2_0__157188&from_sustainable_property_sr=1&from=searchresults,"Rozenstraat 12, Amsterdam City Centre, 1016 NX Amsterdam, Netherlands
location — rated 9.4/10!",booking,"Rozenstraat 12, 1016 NX Amsterdam, Netherlands",52.3731543,4.8822357
Bilderberg Garden Hotel,183.57,1,5.0,8.0,2608.0,Deluxe Double or Twin Room,Oud Zuid,2.7,https://www.booking.com/hotel/nl/garden.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=206&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=1008502_95127928_2_34_0&highlighted_blocks=1008502_95127928_2_34_0&matching_block_id=1008502_95127928_2_34_0&sr_pri_blocks=1008502_95127928_2_34_0__128480&from_sustainable_property_sr=1&from=searchresults,"Dijsselhofplantsoen 7, Oud Zuid, 1077 BJ Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Dijsselhofplantsoen 7, 1077 BJ Amsterdam, Netherlands",52.3511798,4.8740022
The July - Boat & Co,200.29,1,4.0,9.2,2309.0,Studio,Westerpark,2.5,https://www.booking.com/hotel/nl/boat-amp-co.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=207&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=492578201_164931093_2_2_0&highlighted_blocks=492578201_164931093_2_2_0&matching_block_id=492578201_164931093_2_2_0&sr_pri_blocks=492578201_164931093_2_2_0__140182&from_sustainable_property_sr=1&from=searchresults,"500 Revaleiland, Westerpark, 1014 ZG Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"500 Revaleiland, 1014 ZG Amsterdam, Netherlands",52.3944994,4.8819554
Belfort Hotel,902.86,1,3.0,6.1,4486.0,Triple Room without Window,Oud Zuid,3.3,https://www.booking.com/hotel/nl/belfort-amsterdam1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=208&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=1157409_95134336_0_0_0&highlighted_blocks=1157409_95134336_0_0_0&matching_block_id=1157409_95134336_0_0_0&sr_pri_blocks=1157409_95134336_0_0_0__632023&from=searchresults,"Surinameplein 53, Oud Zuid, 1058 GN Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Surinameplein 53, 1058 GN Amsterdam, Netherlands",52.3576556,4.850719
Triple G Hotels,110.29,1,3.0,6.8,203.0,Twin Room - Disability Access,Bos en Lommer,2.6,https://www.booking.com/hotel/nl/g-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=209&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=666247913_0_2_1_0&highlighted_blocks=666247913_0_2_1_0&matching_block_id=666247913_0_2_1_0&sr_pri_blocks=666247913_0_2_1_0__77190&from=searchresults,"willem de zwijgerlaan 350, Bos en Lommer, 1055 RD Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"willem de zwijgerlaan 350, 1055 RD Amsterdam, Netherlands",52.3824496,4.857998
Dutch Design Hotel Vondelpark,110.14,1,3.0,8.4,1189.0,Double Room,Oud Zuid,3.2,https://www.booking.com/hotel/nl/central-parc.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=210&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=17112202_89000485_0_2_0&highlighted_blocks=17112202_89000485_0_2_0&matching_block_id=17112202_89000485_0_2_0&sr_pri_blocks=17112202_89000485_0_2_0__77084&from=searchresults,"Waldeck Pyrmontlaan 9, Oud Zuid, 1075 BT Amsterdam, Netherlands
location — rated 9.2/10!",booking,"Waldeck Pyrmontlaan 9, 1075 BT Amsterdam, Netherlands",52.3538869,4.857526
Weber Hotel,137.57,1,2.0,8.1,2099.0,Extra Small Double Room,Amsterdam City Centre,1.2,https://www.booking.com/hotel/nl/freeland.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=211&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=1144513_95134141_2_0_0&highlighted_blocks=1144513_95134141_2_0_0&matching_block_id=1144513_95134141_2_0_0&sr_pri_blocks=1144513_95134141_2_0_0__96295&from=searchresults,"Marnixstraat 386, Amsterdam City Centre, 1017 PL Amsterdam, Netherlands
location — rated 9.2/10!",booking,"Marnixstraat 386, 1017 PL Amsterdam, Netherlands",52.3648843,4.8802704
XO Hotels Blue Tower,78.29,1,4.0,8.2,8236.0,Standard Twin Room,Bos en Lommer,3.3,https://www.booking.com/hotel/nl/blue-tower.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=212&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=1164002_102711862_0_2_0&highlighted_blocks=1164002_102711862_0_2_0&matching_block_id=1164002_102711862_0_2_0&sr_pri_blocks=1164002_102711862_0_2_0__54800&from=searchresults,"Leeuwendalersweg 21, Bos en Lommer, 1055 JE Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Leeuwendalersweg 21, 1055 JE Amsterdam, Netherlands",52.3793024,4.8457427
Hotel Manofa,92.0,1,2.0,7.0,4235.0,Economy Twin Room without Window,Amsterdam City Centre,350.0,https://www.booking.com/hotel/nl/hotelmanofaamsterd.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=213&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=1109709_95133726_2_0_0_560275&highlighted_blocks=1109709_95133726_2_0_0_560275&matching_block_id=1109709_95133726_2_0_0_560275&sr_pri_blocks=1109709_95133726_2_0_0_560275_64406&from=searchresults,"Damrak 46, Amsterdam City Centre, 1012 LL Amsterdam, Netherlands
location — rated 9.5/10!",booking,"Damrak 46, 1012 LL Amsterdam, Netherlands",52.3755395,4.8958659
Hotel Van Gogh,114.71,1,3.0,8.2,4856.0,Standard Twin Room,Oud Zuid,1.8,https://www.booking.com/hotel/nl/van-gogh.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=214&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=29860802_250707664_0_2_0&highlighted_blocks=29860802_250707664_0_2_0&matching_block_id=29860802_250707664_0_2_0&sr_pri_blocks=29860802_250707664_0_2_0__80300&from=searchresults,"Van de Veldestraat 5, Oud Zuid, 1071 CW Amsterdam, Netherlands
location — rated 9.5/10!",booking,"Van de Veldestraat 5, 1071 CW Amsterdam, Netherlands",52.3591278,4.8801418
Morgan & Mees Amsterdam,254.57,1,4.0,9.1,529.0,The Comfy One,Westerpark,1.3,https://www.booking.com/hotel/nl/morgan-amp-mees.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=215&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682219&all_sr_blocks=129210701_88533947_2_2_0&highlighted_blocks=129210701_88533947_2_2_0&matching_block_id=129210701_88533947_2_2_0&sr_pri_blocks=129210701_88533947_2_2_0__178192&from=searchresults,"2e Hugo de Grootstraat 2-6, Westerpark, 1052 LC Amsterdam, Netherlands
location — rated 9.2/10!",booking,"2e Hugo de Grootstraat 2-6, 1052 LC Amsterdam, Netherlands",52.374196,4.8748509
